company_cnae;cnae_section_id;cnae_section_desc;cnae_division_id;cnae_division_desc;cnae_group_id;cnae_group_desc;cnae_class_id;cnae_class_desc;company_cnae_desc
4754703;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.54-7;Comércio varejista especializado de móveis colchoaria e artigos de iluminação;Comércio varejista de artigos de iluminação
4755501;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.55-5;Comércio varejista especializado de tecidos e artigos de cama mesa e banho;Comércio varejista de tecidos
4755502;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.55-5;Comércio varejista especializado de tecidos e artigos de cama mesa e banho;Comercio varejista de artigos de armarinho
4755503;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.55-5;Comércio varejista especializado de tecidos e artigos de cama mesa e banho;Comercio varejista de artigos de cama mesa e banho
4756300;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.56-3;Comércio varejista especializado de instrumentos musicais e acessórios;Comércio varejista especializado de instrumentos musicais e acessórios
4757100;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.57-1;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico exceto informática e comunicação;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico exceto informática e comunicação
4759801;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.59-8;Comércio varejista de artigos de uso doméstico não especificados anteriormente;Comércio varejista de artigos de tapeçaria cortinas e persianas
4759899;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.59-8;Comércio varejista de artigos de uso doméstico não especificados anteriormente;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente
4761001;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.61-0;Comércio varejista de livros jornais revistas e papelaria;Comércio varejista de livros
4761002;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.61-0;Comércio varejista de livros jornais revistas e papelaria;Comércio varejista de jornais e revistas
4761003;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.61-0;Comércio varejista de livros jornais revistas e papelaria;Comércio varejista de artigos de papelaria
4762800;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.62-8;Comércio varejista de discos CDs DVDs e fitas;Comércio varejista de discos CDs DVDs e fitas
4763601;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;Comércio varejista de brinquedos e artigos recreativos
4763602;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;Comércio varejista de artigos esportivos
4763603;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;Comércio varejista de bicicletas e triciclos; peças e acessórios
4763604;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;Comércio varejista de artigos de caça pesca e camping
4763605;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.6;Comércio varejista de artigos culturais recreativos e esportivos;47.63-6;Comércio varejista de artigos recreativos e esportivos;Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios
4771701;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Comércio varejista de produtos farmacêuticos sem manipulação de fórmulas
4771702;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Comércio varejista de produtos farmacêuticos com manipulação de fórmulas
4771703;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Comércio varejista de produtos farmacêuticos homeopáticos
4771704;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Comércio varejista de medicamentos veterinários
4772500;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.72-5;Comércio varejista de cosméticos produtos de perfumaria e de higiene pessoal;Comércio varejista de cosméticos produtos de perfumaria e de higiene pessoal
4773300;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.73-3;Comércio varejista de artigos médicos e ortopédicos;Comércio varejista de artigos médicos e ortopédicos
4774100;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.7;Comércio varejista de produtos farmacêuticos perfumaria e cosméticos e artigos médicos ópticos e ortopédicos;47.74-1;Comércio varejista de artigos de óptica;Comércio varejista de artigos de óptica
4781400;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.81-4;Comércio varejista de artigos do vestuário e acessórios;Comércio varejista de artigos do vestuário e acessórios
4782201;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.82-2;Comércio varejista de calçados e artigos de viagem;Comércio varejista de calçados
4782202;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.82-2;Comércio varejista de calçados e artigos de viagem;Comércio varejista de artigos de viagem
4783101;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.83-1;Comércio varejista de jóias e relógios;Comércio varejista de artigos de joalheria
4783102;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.83-1;Comércio varejista de jóias e relógios;Comércio varejista de artigos de relojoaria
4784900;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.84-9;Comércio varejista de gás liqüefeito de petróleo (GLP);Comércio varejista de gás liqüefeito de petróleo (GLP)
4785701;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.85-7;Comércio varejista de artigos usados;Comércio varejista de antiguidades
4785799;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.85-7;Comércio varejista de artigos usados;Comércio varejista de outros artigos usados
4789001;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.89-0;Comércio varejista de outros produtos novos não especificados anteriormente;Comércio varejista de suvenires bijuterias e artesanatos
4789002;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.8;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;47.89-0;Comércio varejista de outros produtos novos não especificados anteriormente;Comércio varejista de plantas e flores naturais
